UNITID_P,INSTNM,sector_cd,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,MURD17,NEG_M17,RAPE17,FONDL17,INCES17,STATR17,ROBBE17,AGG_A17,BURGLA17,VEHIC17,ARSON17,MURD18,NEG_M18,RAPE18,FONDL18,INCES18,STATR18,ROBBE18,AGG_A18,BURGLA18,VEHIC18,ARSON18
177834001,A T Still University of Health Sciences,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0
222178001,Abilene Christian University,2,0,0,2,1,0,0,0,0,10,0,0,0,0,4,1,0,0,0,1,7,1,0,0,0,1,1,0,0,0,0,6,0,0
138558001,Abraham Baldwin Agricultural College,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0
108232001,Academy of Art University,3,0,0,2,1,0,0,0,0,5,0,0,0,0,2,2,0,0,0,1,18,0,2,0,0,5,2,0,0,0,0,9,0,1
126182001,Adams State University,1,0,0,2,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,3,4,0
188429001,Adelphi University,2,0,0,6,1,0,0,0,0,1,0,0,0,0,9,3,0,0,1,0,7,2,2,0,0,0,1,0,0,0,0,1,0,0
188438001,Adirondack Community College,4,0,0,2,1,0,0,1,1,5,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0
142832001,Adler University,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
168528001,Adrian College,2,0,0,2,0,0,0,2,2,37,1,0,0,0,1,0,0,0,0,1,14,0,0,0,0,8,1,0,0,0,1,0,0,0
133872001,Adventist University of Health Sciences,2,0,0,0,0,0,0,1,1,7,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,1,0
138600001,Agnes Scott College,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0
134811001,AI Miami International University of Art and Design,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
217615001,Aiken Technical College,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126207001,Aims Community College,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100654001,Alabama A & M University,1,0,0,1,0,0,0,1,1,4,0,0,0,0,3,0,0,0,1,0,6,0,0,0,0,2,1,0,0,3,2,9,2,0
100724001,Alabama State University,1,0,0,0,0,0,0,3,3,12,0,0,0,0,0,1,0,0,0,5,17,0,0,0,0,0,0,0,0,3,0,18,0,0
199786001,Alamance Community College,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188526001,Albany College of Pharmacy and Health Sciences,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138716001,Albany State University,1,0,0,3,3,0,0,0,0,6,0,0,0,0,5,0,0,0,0,2,18,1,0,0,0,6,0,0,0,1,2,7,0,0
138682001,Albany Technical College,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128498001,Albertus Magnus College,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,11,2,0,0,0,0,0,0,0,0,3,5,0,0
168546001,Albion College,2,0,0,6,3,0,0,1,1,5,0,0,0,0,10,4,0,0,0,0,2,0,0,0,0,7,5,0,0,0,0,2,0,1
210571001,Albright College,2,0,0,5,0,0,0,0,0,10,1,0,0,0,6,2,0,0,0,1,15,1,0,0,0,5,3,0,0,2,0,7,0,2
175342001,Alcorn State University,1,0,0,0,0,0,0,4,4,1,1,3,0,0,1,0,0,0,2,4,2,0,1,0,0,1,0,0,0,1,1,0,0,0
172918001,Alexandria Technical & Community College,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
188641001,Alfred University,2,0,0,2,2,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,3,0,0,0,0,1,1,0,0,0,1,3,0,0
108807001,Allan Hancock College,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
161688001,Allegany College of Maryland,4,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,3,0,0,0,2,1,0,0
210669001,Allegheny College,2,0,0,11,4,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,2,0,1,0,0,9,1,0,0,0,0,3,0,0
154642001,Allen County Community College,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110468001,Alliant International University-San Diego,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
168591001,Alma College,2,0,0,3,8,0,0,0,0,9,0,1,0,0,3,4,0,0,0,0,2,0,0,0,0,4,6,0,0,0,0,3,0,0
168607001,Alpena Community College,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210775001,Alvernia University,2,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
238193001,Alverno College,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0
222567001,Alvin Community College,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
222576001,Amarillo College,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
222628001,Amberton University,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441052001,American Career College-Anaheim,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109040001,American Career College-Los Angeles,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447768001,American Career College-Ontario,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
241146001,American Educational College,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438586001,American InterContinental University-Atlanta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164447001,American International College,2,0,0,0,1,0,0,1,1,17,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,1,4,1,1
188854001,American Musical and Dramatic Academy,2,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0
232797001,American National University,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453464001,American National University-Youngstown,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449339001,American Public University System,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
