UNITID_P,Address,City,State,ZIP,men_total,women_total,Total
177834001,800 W. Jefferson St.,Kirksville,MO,63501,1582,2135,3717
222178001,1600 Campus Court,ABILENE,TX,79601,1934,3270,5204
138558001,2802 MOORE HWY,TIFTON,GA,317942601,1863,2428,4291
108232001,79 NEW MONTGOMERY,SAN FRANCISCO,CA,94105,4333,6283,10616
126182001,208 EDGEMONT BLVD,ALAMOSA,CO,811010001,1469,1641,3110
188429001,ONE SOUTH AVE,GARDEN CITY,NY,11530,2496,5650,8146
188438001,640 BAY RD,QUEENSBURY,NY,12804,1633,2094,3727
142832001,17 North Dearborn Street,Chicago,IL,606024310,266,1130,1396
168528001,110 S. Madison Street,Adrian,MI,49221,974,882,1856
133872001,671 Winyah Drive,ORLANDO,FL,32803,363,1342,1705
138600001,141 E COLLEGE AVE,DECATUR,GA,300303797,5,1025,1030
134811001,1501 Biscayne Blvd.,MIAMI,FL,33132,495,889,1384
217615001,2276 JEFFERSON DAVIS HIGHWAY,Graniteville,SC,29829,827,1440,2267
126207001,5401 W. 20th St.,Greeley,CO,80634,2665,3585,6250
100654001,4900 MERIDIAN ST,NORMAL,AL,35762,2381,3725,6106
100724001,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1597,2816,4413
199786001,1247 Jimmie-Kerr Road,GRAHAM,NC,272538000,1600,2648,4248
188526001,106 NEW SCOTLAND AVE,ALBANY,NY,122083492,519,812,1331
138716001,504 College Drive,Albany,GA,31705,1757,4614,6371
138682001,1704 South Slappey Boulevard,ALBANY,GA,317013514,1028,2153,3181
128498001,700 PROSPECT ST,NEW HAVEN,CT,65111189,441,1015,1456
168546001,611 E PORTER ST,ALBION,MI,49224,701,832,1533
210571001,1621 N. 13th St.,Reading,PA,196125234,772,1162,1934
175342001,"1000 ASU Drive, #359",ALCORN STATE,MS,390967500,1270,2388,3658
172918001,1601 JEFFERSON ST,ALEXANDRIA,MN,56308,1311,1303,2614
188641001,ONE SAXON DR,ALFRED,NY,148021205,1004,1298,2302
108807001,800 S. College Drive,Santa Maria,CA,934546399,5076,6209,11285
161688001,12401 WILLOWBROOK RD SE,CUMBERLAND,MD,215022596,872,1713,2585
210669001,520 N MAIN ST,MEADVILLE,PA,163353902,788,983,1771
154642001,1801 N COTTONWOOD,IOLA,KS,66749,975,1565,2540
110468001,10455 POMERADO ROAD,SAN DIEGO,CA,921311799,1193,2587,3780
168591001,614 W SUPERIOR,ALMA,MI,488011599,593,840,1433
168607001,665 JOHNSON ST,ALPENA,MI,49707,682,747,1429
210775001,400 SAINT BERNARDINE ST,READING,PA,196071799,828,1964,2792
238193001,3400 S 43RD  ST,Milwaukee,WI,532343922,58,1793,1851
222567001,3110 MUSTANG RD,ALVIN,TX,775114898,2424,3149,5573
222576001,2201 S. WASHINGTON,AMARILLO,TX,79178,3623,6231,9854
222628001,1700 Eastgate Dr,Garland,TX,750415595,407,775,1182
441052001,1200 N. Magnolia Ave.,Anaheim,CA,92801,279,748,1027
109040001,4021 Rosewood Ave,Los Angeles,CA,90004,239,1045,1284
447768001,3130 East Sedona Court,Ontario,CA,91764,277,1003,1280
241146001,PO BOX 62,BAYAMON,PR,960,,,
438586001,6600 PEACHTREE DUNWOODY RD 500 EMBASSY ROW,ATLANTA,GA,30328,576,1230,1806
164447001,1000 STATE ST,SPRINGFIELD,MA,1109,855,2297,3152
188854001,211 West 61st Street,NEW YORK,NY,10023,505,1171,1676
232797001,1813 E MAIN ST,SALEM,VA,24153,132,940,1072
453464001,3487 Belmont Ave,Youngstown,OH,44505,,,
449339001,111 W Congress St,Charles Town,WV,254141621,28925,17163,46088
109208001,4700 COLLEGE OAK DR,SACRAMENTO,CA,958414286,16725,14641,31366
240736001,PO BOX 2609,Pago Pago,AS,96799,319,718,1037
460738001,"2260 South Xanadu Way, Suite 310",Aurora,CO,80014,259,2415,2674
